sku,model,folds,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,mean_WAPE,std_WAPE,median_WAPE,mean_bias,wape_cv,unstable,composite
P108,Holt-Winters ES,4,2.3571,1.2124,3.2047,1.49,22.9055,15.555,6.7934,13.1684,0.326,0.4367,False,0.1931
P108,Moving Average (28d),4,5.1191,0.4796,6.0505,0.4114,63.3543,34.43,2.1189,34.3812,-0.7296,0.0615,False,1.0
P108,Random Forest,4,1.7752,0.0884,2.5754,0.1031,11.9613,11.9744,0.8248,11.9456,-0.6402,0.0689,False,0.03
P108,"SARIMA (1,1,1)x(1,0,1)7",4,2.1717,0.9664,3.025,1.0825,17.8991,14.3777,5.3174,12.7158,-0.3584,0.3698,False,0.1416
P108,XGBoost,4,1.6678,0.3291,2.4954,0.3627,11.3393,11.2234,2.1001,11.677,-0.3806,0.1871,False,0.0
P109,Gradient Boosting,4,8.935,0.9952,12.9698,2.3664,12.1082,11.6346,1.2612,11.606,-3.7605,0.1084,False,0.0172
P109,Holt-Winters ES,4,12.6023,8.0095,18.0037,10.7919,20.383,16.1806,9.5955,11.7324,-1.2285,0.593,True,0.2319
P109,Moving Average (28d),4,26.4396,0.6825,30.9524,1.8377,63.1296,34.48,2.2051,35.004,-4.2962,0.064,False,1.0
P109,Random Forest,4,8.5952,0.1902,12.7848,2.6119,10.5372,11.1946,0.2605,11.1993,-4.6995,0.0233,False,0.0
P109,"SARIMA (1,1,1)x(1,0,1)7",4,12.0286,5.8978,16.5414,7.0788,21.1477,15.5058,6.974,12.6079,-0.801,0.4498,False,0.1917
P109,XGBoost,4,9.1662,1.0359,13.4828,2.7997,11.472,11.9188,1.0942,12.1076,-4.485,0.0918,False,0.0328
P110,Gradient Boosting,4,3.5332,0.8824,4.8321,1.3279,12.7723,12.9366,3.0264,11.9431,-1.814,0.2339,False,0.0003
P110,Holt-Winters ES,4,4.2135,0.6046,5.1918,0.6162,21.1734,15.4108,1.682,15.189,0.2219,0.1091,False,0.1042
P110,Moving Average (28d),4,9.4089,0.7282,10.7714,0.5419,60.5384,34.6268,4.1118,34.0721,-1.6839,0.1187,False,1.0
P110,Random Forest,4,3.6053,0.7325,4.8236,1.1417,13.1102,13.1994,2.4482,12.1824,-1.9047,0.1855,False,0.0097
P110,"SARIMA (1,1,1)x(1,0,1)7",4,3.8352,0.6026,4.901,0.8458,16.9043,14.0332,1.8356,14.0504,-0.9777,0.1308,False,0.0433
P110,XGBoost,4,3.6235,0.7712,4.8764,1.274,13.0046,13.2863,2.7085,12.4836,-1.9884,0.2039,False,0.0144
P111,Gradient Boosting,4,17.7492,5.4878,26.7041,15.2937,12.9629,12.4252,3.1226,11.7178,-3.4346,0.2513,False,0.0377
P111,Holt-Winters ES,4,20.0562,6.7339,30.0938,14.4427,16.0128,14.052,4.1685,13.192,3.1236,0.2966,False,0.124
P111,Moving Average (28d),4,45.0643,6.119,57.2083,11.4446,58.128,31.8074,3.13,31.346,-4.6922,0.0984,False,1.0
P111,Random Forest,4,16.4932,6.0691,26.3104,16.3311,11.0816,11.5328,3.581,10.2641,-7.4783,0.3105,False,0.0
P111,"SARIMA (1,1,1)x(1,0,1)7",4,19.8329,5.171,29.0768,14.1291,17.1259,13.9185,2.9933,13.4481,1.9187,0.2151,False,0.1118
P111,XGBoost,4,17.2124,6.0647,26.6498,15.1649,11.5953,12.0232,3.5175,10.9368,-5.8587,0.2926,False,0.0218
P112,Gradient Boosting,4,4.159,0.9735,6.6669,2.4698,10.7409,11.0492,2.5825,10.8908,-1.8921,0.2337,False,0.0
P112,Holt-Winters ES,4,7.1763,3.7568,9.185,4.3158,30.2682,19.115,10.03,15.9806,1.1724,0.5247,True,0.3546
P112,Moving Average (28d),4,12.3882,0.7081,15.0508,1.2017,64.4219,32.9087,1.4136,33.4728,-1.6045,0.043,False,1.0
P112,Random Forest,4,4.7707,1.1403,7.1442,1.9533,11.7759,12.7164,3.2369,12.2938,-3.1656,0.2545,False,0.0718
P112,"SARIMA (1,1,1)x(1,0,1)7",4,6.5913,3.0789,8.6042,3.9445,26.9192,17.5483,8.219,14.8262,0.3425,0.4684,False,0.2835
P112,XGBoost,4,4.4809,0.7677,6.8008,2.0412,11.8337,11.9192,2.1198,11.7235,-2.3641,0.1778,False,0.0348
