sku,fold,train_start,train_end,test_start,test_end,model,n_test_days,MAE,RMSE,MAPE,WAPE,SMAPE,bias,error
P102,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,XGBoost,30,7.0563,9.6613,9.9014,8.8685,9.8856,-2.2603,
P102,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Moving Average (28d),30,26.4048,30.6474,61.9099,32.1487,37.733,-1.8119,
P102,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Holt-Winters ES,30,8.0774,10.0677,10.7992,9.8345,11.9832,-4.3639,
P102,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,"SARIMA (1,1,1)x(1,0,1)7",30,8.8703,11.0922,13.175,10.7998,15.072,-5.9793,
P102,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Random Forest,30,6.6985,8.6282,9.0743,8.1556,9.7445,-1.6958,
P102,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Gradient Boosting,30,9.4175,10.9397,15.3261,11.4661,13.7574,6.7508,
P102,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,XGBoost,30,7.1934,9.2283,10.0067,8.7582,10.5868,-0.7346,
P102,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Moving Average (28d),30,30.55,37.3681,52.0828,32.8024,37.3837,-9.4548,
P102,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Holt-Winters ES,30,12.2011,20.4158,11.5209,13.1007,12.5245,-8.7321,
P102,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,"SARIMA (1,1,1)x(1,0,1)7",30,12.2806,20.4113,11.8494,13.1861,12.8846,-8.8025,
P102,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Random Forest,30,12.3,19.9158,11.9263,13.2068,12.874,-8.1229,
P102,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Gradient Boosting,30,10.6975,19.1817,9.6824,11.4862,10.2007,-4.8802,
P102,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,XGBoost,30,11.3834,19.3936,10.144,12.2227,10.7901,-5.4732,
P103,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Moving Average (28d),30,13.0,16.82,73.3974,30.6845,36.8451,1.419,
P103,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Holt-Winters ES,30,4.6407,5.8615,11.7993,10.9536,11.2091,1.3113,
P103,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,"SARIMA (1,1,1)x(1,0,1)7",30,4.9719,6.0087,15.3848,11.7353,14.0912,0.6216,
P103,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Random Forest,30,4.1214,5.1689,11.4573,9.728,10.9285,0.3149,
P103,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Gradient Boosting,30,4.1804,5.0426,14.4859,9.8672,12.8041,1.8236,
P103,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,XGBoost,30,4.0505,4.878,12.7115,9.5606,11.6061,1.4653,
P103,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Moving Average (28d),30,14.8476,19.6105,59.2627,34.1586,38.2478,-1.6095,
P103,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Holt-Winters ES,30,6.3167,11.7682,13.1754,14.5323,13.6987,-1.3392,
P103,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,"SARIMA (1,1,1)x(1,0,1)7",30,5.8597,11.797,11.1861,13.4809,11.6154,-1.902,
P103,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Random Forest,30,6.1277,11.2052,11.9736,14.0975,12.1061,-0.2268,
P103,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Gradient Boosting,30,8.4845,12.2316,19.0574,19.5196,17.4294,4.7936,
P103,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,XGBoost,30,6.8379,11.3967,13.9312,15.7314,13.5359,1.4482,
P103,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Moving Average (28d),30,14.319,16.8434,66.8828,33.4557,39.3672,0.7357,
P103,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Holt-Winters ES,30,3.3587,4.3835,8.7957,7.8475,8.8795,-0.1991,
P103,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,"SARIMA (1,1,1)x(1,0,1)7",30,3.4305,4.3971,9.5317,8.0152,9.0555,-0.0527,
P103,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Random Forest,30,2.9781,3.6924,7.9149,6.9581,8.0827,-1.2034,
P103,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Gradient Boosting,30,3.901,4.9229,10.4952,9.1146,9.9556,1.635,
P103,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,XGBoost,30,2.9792,3.6756,7.8246,6.9608,7.7458,0.2425,
P103,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Moving Average (28d),30,16.2333,20.192,58.6321,33.1293,38.5612,-5.5,
P103,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Holt-Winters ES,30,7.535,11.882,13.5714,15.3776,14.957,-4.8726,
P103,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,"SARIMA (1,1,1)x(1,0,1)7",30,7.8894,12.0066,16.3014,16.1008,17.2298,-4.8957,
P103,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Random Forest,30,7.2942,11.434,13.3625,14.8861,14.5469,-4.4536,
P103,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Gradient Boosting,30,6.6571,10.7557,12.6776,13.586,13.4335,-3.1167,
P103,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,XGBoost,30,6.8421,10.7945,12.8406,13.9634,13.7215,-3.5709,
P104,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Moving Average (28d),30,30.4,36.471,57.872,35.39,40.4841,-8.2571,
P104,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Holt-Winters ES,30,12.0729,20.1261,14.2483,14.0546,16.3151,-9.4953,
P104,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,"SARIMA (1,1,1)x(1,0,1)7",30,12.0736,20.4056,12.9318,14.0554,14.2596,-9.3751,
P104,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Random Forest,30,11.8878,19.9513,13.3434,13.8391,14.787,-7.9198,
P104,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Gradient Boosting,30,11.82,19.1717,13.1899,13.7602,14.5905,-7.5884,
P104,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,XGBoost,30,10.9342,18.4568,12.5782,12.729,13.924,-6.4329,
P104,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Moving Average (28d),30,29.8095,34.4938,66.2767,34.094,39.7711,-2.3619,
P104,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Holt-Winters ES,30,9.0097,12.4054,9.9936,10.3046,10.4798,-6.7263,
P104,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,"SARIMA (1,1,1)x(1,0,1)7",30,10.5773,14.0963,12.8621,12.0976,13.0818,-7.6723,
P104,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Random Forest,30,9.0207,12.3666,9.5831,10.3172,10.0269,-6.2372,
P104,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Gradient Boosting,30,10.6489,14.5324,10.8741,12.1795,11.6766,-9.3144,
P104,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,XGBoost,30,8.7048,12.0725,9.2176,9.956,9.6275,-6.3959,
P104,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Moving Average (28d),30,47.2524,51.8613,72.4229,43.5238,51.5903,-19.781,
P104,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Holt-Winters ES,30,22.0458,30.2273,17.9725,20.3062,20.3971,-21.747,
P104,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,"SARIMA (1,1,1)x(1,0,1)7",30,22.0034,30.3918,18.0945,20.2672,19.9705,-20.6652,
P104,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Random Forest,30,21.6328,29.6217,17.9939,19.9258,20.4396,-21.0281,
P104,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Gradient Boosting,30,19.5058,27.5496,15.4915,17.9666,17.3099,-18.7935,
P104,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,XGBoost,30,19.2808,27.6398,15.086,17.7594,16.809,-17.9154,
P104,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Moving Average (28d),30,58.6,64.1583,57.618,40.7889,47.8073,-32.381,
P104,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Holt-Winters ES,30,23.8918,32.0239,15.263,16.63,16.5462,-21.9252,
P104,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,"SARIMA (1,1,1)x(1,0,1)7",30,24.9444,33.0814,16.5989,17.3627,17.7954,-21.9679,
P104,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Random Forest,30,25.7915,33.0967,18.0832,17.9523,20.7659,-24.0951,
P104,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Gradient Boosting,30,27.1931,34.8836,18.8697,18.9279,21.6548,-26.9567,
P104,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,XGBoost,30,25.7402,33.1678,17.3261,17.9166,19.4793,-24.6885,
P105,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Moving Average (28d),30,10.5143,12.3638,64.0214,36.8491,42.6871,-2.819,
P105,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Holt-Winters ES,30,3.441,5.9816,12.7758,12.0596,14.4831,-2.55,
P105,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,"SARIMA (1,1,1)x(1,0,1)7",30,3.7752,6.6149,12.5226,13.2309,14.1205,-3.2942,
P105,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Random Forest,30,3.3114,5.6667,10.0223,11.6053,10.6346,-1.7945,
P105,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Gradient Boosting,30,3.2452,5.7289,10.1546,11.3735,10.6121,-1.5287,
P105,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,XGBoost,30,3.3004,5.8418,10.4515,11.5669,10.9533,-1.5875,
P105,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Moving Average (28d),30,9.7762,11.1123,56.083,33.4419,38.2629,-0.6619,
P105,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Holt-Winters ES,30,2.899,3.7029,12.0641,9.9169,11.6246,0.8595,
P105,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,"SARIMA (1,1,1)x(1,0,1)7",30,2.6369,3.6855,9.8796,9.0201,10.4842,-0.9053,
P105,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Random Forest,30,2.6255,3.6023,9.3758,8.9811,9.8682,-1.0166,
P105,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Gradient Boosting,30,2.5875,3.5531,9.3569,8.8513,9.9373,-0.9027,
P105,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,XGBoost,30,3.0775,4.3308,10.495,10.5275,11.3736,-2.0195,
P105,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Moving Average (28d),30,10.7429,12.3737,65.3348,34.6544,40.6751,-1.4286,
P105,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Holt-Winters ES,30,2.9853,3.9682,12.7983,9.6301,11.672,0.3092,
P105,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,"SARIMA (1,1,1)x(1,0,1)7",30,3.2996,4.492,9.9008,10.644,10.212,-1.8843,
P105,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Random Forest,30,3.5222,4.5391,11.0557,11.362,11.5573,-1.8717,
P105,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Gradient Boosting,30,3.338,4.2146,13.1882,10.7678,12.6741,-0.5531,
P105,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,XGBoost,30,3.0002,3.9511,9.6329,9.6782,9.6233,-0.6291,
P105,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Moving Average (28d),30,10.9333,12.4275,58.9294,32.3471,38.0266,-2.0857,
P105,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Holt-Winters ES,30,3.2254,3.8944,14.5791,9.5427,12.6377,0.6651,
P105,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,"SARIMA (1,1,1)x(1,0,1)7",30,3.0256,3.7766,9.9656,8.9513,9.7625,-1.3099,
P105,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Random Forest,30,2.9309,3.5641,9.0303,8.6713,9.2684,-1.2872,
P105,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Gradient Boosting,30,2.7274,3.4286,8.6022,8.0692,8.5235,0.2664,
P105,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,XGBoost,30,2.5963,3.4432,7.9461,7.6812,7.7862,0.2298,
P106,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Moving Average (28d),30,21.8238,31.1733,58.8352,37.3482,40.8742,-7.5762,
P106,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Holt-Winters ES,30,11.9813,23.1125,20.7921,20.5042,25.3435,-7.0506,
P106,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,"SARIMA (1,1,1)x(1,0,1)7",30,11.7593,23.2811,18.0257,20.1244,20.8933,-7.5399,
P106,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Random Forest,30,10.6006,22.2762,13.6187,18.1413,15.1421,-5.537,
P106,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Gradient Boosting,30,10.5334,21.0519,15.1599,18.0264,15.7197,-3.0379,
P106,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,XGBoost,30,10.5714,22.4229,13.2863,18.0913,14.8159,-5.9605,
P106,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Moving Average (28d),30,16.1857,21.0782,60.9912,29.1634,34.1365,2.6786,
P106,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Holt-Winters ES,30,9.6331,11.8485,19.4937,17.3569,17.7674,6.0096,
P106,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,"SARIMA (1,1,1)x(1,0,1)7",30,7.7017,10.1723,14.9873,13.877,14.505,2.3887,
P106,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Random Forest,30,7.3023,10.2667,12.4512,13.1573,12.5827,1.0534,
P106,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Gradient Boosting,30,10.3228,12.231,22.6146,18.5997,20.1214,6.9785,
P106,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,XGBoost,30,7.2777,10.0585,13.4636,13.1131,13.1599,1.9695,
P106,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Moving Average (28d),30,24.4429,31.8402,64.4014,38.5331,43.3082,-7.2905,
P106,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Holt-Winters ES,30,9.9695,19.7049,13.4868,15.7166,14.3758,-3.5118,
P106,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,"SARIMA (1,1,1)x(1,0,1)7",30,11.0659,21.5148,13.7113,17.445,15.7786,-8.4035,
P106,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Random Forest,30,11.376,21.4539,14.8252,17.9337,17.325,-9.3176,
P106,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Gradient Boosting,30,10.5458,20.3096,14.8148,16.625,15.8619,-6.6754,
P106,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,XGBoost,30,11.2768,21.4065,14.2667,17.7774,16.5101,-8.9731,
P106,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Moving Average (28d),30,23.769,33.81,61.182,34.1837,38.0001,-4.6405,
P106,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Holt-Winters ES,30,13.1951,22.3382,22.1579,18.9767,20.3334,0.9444,
P106,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,"SARIMA (1,1,1)x(1,0,1)7",30,12.2107,22.8765,18.3594,17.561,17.9747,-3.3448,
P106,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Random Forest,30,12.5589,24.8363,15.2886,18.0618,17.2647,-9.7022,
P106,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Gradient Boosting,30,11.5124,23.5289,12.961,16.5566,14.551,-8.3632,
P106,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,XGBoost,30,11.2586,23.7894,13.1807,16.1916,14.5419,-6.9502,
P107,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Moving Average (28d),30,6.3667,8.8534,59.7501,26.9014,31.7639,1.8333,
P107,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Holt-Winters ES,30,6.2162,7.5186,34.1302,26.2658,29.733,1.1664,
P107,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,"SARIMA (1,1,1)x(1,0,1)7",30,5.5161,6.8733,32.5261,23.3074,27.4715,1.0889,
P107,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Random Forest,30,2.2712,3.2634,9.5181,9.5964,10.0801,-1.2652,
P107,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Gradient Boosting,30,2.3792,3.2625,9.9843,10.0527,10.4219,-1.2828,
P107,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,XGBoost,30,2.4741,3.5229,10.4582,10.4539,11.0097,-1.3252,
P107,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Moving Average (28d),30,8.1048,9.0886,57.1578,33.3072,38.44,-0.7619,
P107,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Holt-Winters ES,30,2.0919,2.6865,9.3475,8.5967,9.4209,-0.895,
P107,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,"SARIMA (1,1,1)x(1,0,1)7",30,2.5405,3.0922,12.6653,10.4402,12.1671,-0.9729,
P107,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Random Forest,30,2.1657,2.8259,8.5241,8.9003,9.0437,-1.6181,
P107,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Gradient Boosting,30,1.9531,2.4862,8.0985,8.0264,8.328,-0.9406,
P107,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,XGBoost,30,1.9763,2.5245,8.3716,8.1218,8.5558,-1.0165,
P107,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Moving Average (28d),30,9.1024,10.5636,67.0125,34.9643,41.2662,-1.6405,
P107,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Holt-Winters ES,30,3.8479,5.1927,14.8093,14.7807,15.6137,-1.9702,
P107,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,"SARIMA (1,1,1)x(1,0,1)7",30,4.2394,5.4009,19.5792,16.2845,19.276,-2.0366,
P107,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Random Forest,30,3.8422,5.1996,14.016,14.7589,14.974,-2.1132,
P107,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Gradient Boosting,30,3.872,5.2898,14.1096,14.8732,14.9189,-1.7745,
P107,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,XGBoost,30,3.7601,5.0826,13.8288,14.4435,14.6059,-1.7898,
P107,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Moving Average (28d),30,9.0381,12.5619,60.9156,32.9857,37.1776,-0.7929,
P107,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Holt-Winters ES,30,3.55,8.1887,10.8524,12.9561,11.2266,-0.6273,
P107,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,"SARIMA (1,1,1)x(1,0,1)7",30,3.8018,8.6508,13.6149,13.8751,13.8233,-1.1633,
P107,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Random Forest,30,3.7043,8.0216,11.4245,13.5192,11.9482,-1.02,
P107,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,Gradient Boosting,30,3.7412,8.2674,12.8376,13.6541,14.3088,-1.8429,
P107,3,2023-01-29,2025-12-01,2025-12-02,2025-12-31,XGBoost,30,3.7019,8.3468,11.3648,13.5106,11.7977,-0.5228,
P108,0,2023-01-29,2025-09-01,2025-09-02,2025-10-01,Moving Average (28d),30,4.419,5.4977,57.0408,32.0221,36.8568,-0.5143,
