sku,model,MAE,RMSE,MAPE,WAPE,WAPE_std,mean_bias,n_folds,unstable,composite
P111,Gradient Boosting,17.7492,26.7041,12.9629,12.4252,3.1226,-3.4346,4,False,0.0377
P111,Holt-Winters ES,20.0562,30.0938,16.0128,14.052,4.1685,3.1236,4,False,0.124
P111,Moving Average (28d),45.0643,57.2083,58.128,31.8074,3.13,-4.6922,4,False,1.0
P111,Random Forest,16.4932,26.3104,11.0816,11.5328,3.581,-7.4783,4,False,0.0
P111,"SARIMA (1,1,1)x(1,0,1)7",19.8329,29.0768,17.1259,13.9185,2.9933,1.9187,4,False,0.1118
P111,XGBoost,17.2124,26.6498,11.5953,12.0232,3.5175,-5.8587,4,False,0.0218
P112,Gradient Boosting,4.159,6.6669,10.7409,11.0492,2.5825,-1.8921,4,False,0.0
P112,Holt-Winters ES,7.1763,9.185,30.2682,19.115,10.03,1.1724,4,True,0.3546
P112,Moving Average (28d),12.3882,15.0508,64.4219,32.9087,1.4136,-1.6045,4,False,1.0
P112,Random Forest,4.7707,7.1442,11.7759,12.7164,3.2369,-3.1656,4,False,0.0718
P112,"SARIMA (1,1,1)x(1,0,1)7",6.5913,8.6042,26.9192,17.5483,8.219,0.3425,4,False,0.2835
P112,XGBoost,4.4809,6.8008,11.8337,11.9192,2.1198,-2.3641,4,False,0.0348
