sku,model,feature,importance,method
P108,XGBoost,stockout_flag,0.0,shap
P109,Random Forest,dow,19.063433,shap
P109,Random Forest,month,0.208985,shap
P109,Random Forest,weekofyear,0.979077,shap
P109,Random Forest,trend_idx,0.605656,shap
P109,Random Forest,lag_1,0.418605,shap
P109,Random Forest,lag_7,0.215083,shap
P109,Random Forest,lag_14,0.304063,shap
P109,Random Forest,lag_28,0.196151,shap
P109,Random Forest,roll_mean_7,1.107386,shap
P109,Random Forest,roll_std_7,0.235263,shap
P109,Random Forest,roll_mean_28,7.167825,shap
P109,Random Forest,roll_std_28,0.444703,shap
P109,Random Forest,promo_flag,2.903991,shap
P109,Random Forest,unit_price,0.268726,shap
P109,Random Forest,stockout_flag,0.0,shap
P110,Gradient Boosting,dow,3.055867,shap
P110,Gradient Boosting,month,0.467005,shap
P110,Gradient Boosting,weekofyear,0.383554,shap
P110,Gradient Boosting,trend_idx,0.63535,shap
P110,Gradient Boosting,lag_1,0.235319,shap
P110,Gradient Boosting,lag_7,1.265404,shap
P110,Gradient Boosting,lag_14,1.408553,shap
P110,Gradient Boosting,lag_28,0.857379,shap
P110,Gradient Boosting,roll_mean_7,0.259459,shap
P110,Gradient Boosting,roll_std_7,0.180208,shap
P110,Gradient Boosting,roll_mean_28,0.853038,shap
P110,Gradient Boosting,roll_std_28,0.279314,shap
P110,Gradient Boosting,promo_flag,1.12207,shap
P110,Gradient Boosting,unit_price,0.077573,shap
P110,Gradient Boosting,stockout_flag,0.0,shap
P111,Random Forest,dow,35.5633,shap
P111,Random Forest,month,0.40378,shap
P111,Random Forest,weekofyear,1.950962,shap
P111,Random Forest,trend_idx,1.774894,shap
P111,Random Forest,lag_1,0.563908,shap
P111,Random Forest,lag_7,0.482139,shap
P111,Random Forest,lag_14,0.881187,shap
P111,Random Forest,lag_28,0.448574,shap
P111,Random Forest,roll_mean_7,2.819494,shap
P111,Random Forest,roll_std_7,0.449777,shap
P111,Random Forest,roll_mean_28,11.519247,shap
P111,Random Forest,roll_std_28,0.352907,shap
P111,Random Forest,promo_flag,5.859554,shap
P111,Random Forest,unit_price,0.574777,shap
P111,Random Forest,stockout_flag,0.0,shap
P112,Gradient Boosting,dow,5.799466,shap
P112,Gradient Boosting,month,0.635483,shap
P112,Gradient Boosting,weekofyear,0.628484,shap
P112,Gradient Boosting,trend_idx,0.931172,shap
P112,Gradient Boosting,lag_1,0.338564,shap
P112,Gradient Boosting,lag_7,1.386982,shap
P112,Gradient Boosting,lag_14,1.43118,shap
P112,Gradient Boosting,lag_28,0.791233,shap
P112,Gradient Boosting,roll_mean_7,0.104092,shap
P112,Gradient Boosting,roll_std_7,0.319662,shap
P112,Gradient Boosting,roll_mean_28,1.538544,shap
P112,Gradient Boosting,roll_std_28,0.178453,shap
P112,Gradient Boosting,promo_flag,1.403004,shap
P112,Gradient Boosting,unit_price,0.168953,shap
P112,Gradient Boosting,stockout_flag,0.0,shap
